date,timestamp,team1,team2,tier,best_of,actual,pred_elo_raw,pred_elo_series,pred_map_composite,pred_map_series,pred_round_series,pred_elo_team1,pred_elo_team2
2026-01-04,1767487500,9INE,Team Venom,C,Bo3,1.0,0.49931811017066374,0.4989771658901173,0.4997114444257266,0.49956716668664264,0.4605490469898667,1513.7346518852946,1514.208477763285
2026-01-04,1767492000,Sharks Esports,Wildcard,C,Bo3,0.0,0.49901910562748464,0.4985286603287694,0.4944402654912537,0.49166074194687115,0.35956331582511153,1500.0300132737812,1500.7116093694838
2026-01-04,1767497400,Team Venom,F5 Esports,C,Bo3,1.0,0.5012859169550875,0.5019288711798919,0.5058150532185343,0.5087221865575673,0.5939295113095585,1500.8335160467755,1499.9399674562485
2026-01-04,1767510900,DEPO,ALLINNERS,C,Bo3,1.0,0.49721021581392394,0.4958153671460852,0.5026679776473344,0.5040019284891131,0.5743861475672548,1513.736193584638,1515.6747543059685
2026-01-04,1767510900,BetBoom Team,HOTU,C,Bo3,1.0,0.498062137220723,0.49709322038564385,0.5016990126248121,0.5025485091283293,0.39720724241986666,1526.066028473952,1527.4126001951363
2026-01-04,1767513600,AaB esport,ASTRAL Esports,C,Bo1,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-04,1767513600,Friendly Campers,Fingers Crossed,C,Bo1,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-04,1767513600,MINLATE (European team),SINQU Esports,C,Bo1,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-04,1767517200,Friendly Campers,MINLATE (European team),C,Bo1,1.0,0.5019199865967193,0.5019199865967193,0.500356901624837,0.500356901624837,0.5392835249954683,1513.3526407582222,1512.018490865821
2026-01-04,1767518100,ASTRAL Esports,SINQU Esports,C,Bo1,1.0,0.5339369294725542,0.5339369294725542,0.5050775127591932,0.5050775127591932,0.5297276713430171,1511.5996161651872,1487.981509134179
2026-01-04,1767518100,AaB esport,Fingers Crossed,C,Bo1,1.0,0.5025227837762725,0.5025227837762725,0.5004682795074366,0.5004682795074366,0.5399362120895648,1488.4003838348128,1486.6473592417778
2026-01-04,1767520800,ASTRAL Esports,Fingers Crossed,C,Bo1,1.0,0.5709501556253634,0.5709501556253634,0.5081851582685831,0.5081851582685831,0.5790742219028537,1523.7409602866028,1474.104781531272
2026-01-04,1767520800,Friendly Campers,SINQU Esports,C,Bo1,1.0,0.572979398560758,0.572979398560758,0.5112945372328913,0.5112945372328913,0.6278461092016282,1526.9163207438357,1475.8402490152819
2026-01-04,1767522900,AaB esport,MINLATE (European team),C,Bo1,1.0,0.5035937340113659,0.5035937340113659,0.49794525237915804,0.49794525237915804,0.5383485095757774,1500.9479655534842,1498.4507403900243
2026-01-04,1767524400,Friendly Campers,ASTRAL Esports,C,Bo1,0.0,0.5039825523598297,0.5039825523598297,0.5005378755121173,0.5005378755121173,0.5594044142337538,1536.8187885861703,1534.051369238793
2026-01-04,1767526200,AaB esport,SINQU Esports,C,Bo1,1.0,0.5676048190648647,0.5676048190648647,0.507704329751752,0.507704329751752,0.5449391758070495,1513.2024615232258,1465.9363699383714
2026-01-04,1767526200,MINLATE (European team),Fingers Crossed,C,Bo1,1.0,0.5321941846782613,0.5321941846782613,0.5022303235939701,0.5022303235939701,0.5019140526437796,1486.1964351743773,1463.7946318027177
2026-01-04,1767528600,HOTU,DEPO,C,Bo3,1.0,0.48500655948487287,0.4775165803758765,0.5005496842177255,0.5008245259944111,0.4858184845833748,1514.9518792710112,1525.3735133455514
2026-01-04,1767529200,Friendly Campers,AaB esport,C,Bo1,0.0,0.4997561057467997,0.4997561057467997,0.502378576790354,0.502378576790354,0.516484911877958,1524.6986774120417,1524.8681525108157
2026-01-04,1767531000,Fingers Crossed,SINQU Esports,C,Bo1,1.0,0.49752695726259144,0.49752695726259144,0.5028928734842442,0.5028928734842442,0.552040423331143,1452.5584744765094,1454.2769345929216
2026-01-04,1767531000,MINLATE (European team),ASTRAL Esports,C,Bo1,0.0,0.4303468148126274,0.4303468148126274,0.4890506226176886,0.4890506226176886,0.41304770756201814,1497.4433352958788,1546.1601101561287
2026-01-04,1767535200,ELITenergy (page does not exist),Ursa (page does not exist),Q,Bo3,0.0,0.501681786290379,0.5025226699220225,0.5002388476380115,0.5003582714297656,0.5120789480455366,1521.0359771176886,1519.8673479014894
2026-01-04,1767535200,Petardka (page does not exist),WW Team (page does not exist),Q,Bo3,1.0,0.49845805712275604,0.49768709301634334,0.49977175888352665,0.49965763834907,0.4283442625814612,1519.7473014473007,1520.8187564967427
2026-01-04,1767537900,BetBoom Team,HOTU,C,Bo3,1.0,0.5125530355246288,0.518825597104883,0.5042534101234454,0.5063799612840493,0.4745423684269161,1538.379956929812,1529.6553810499847
2026-01-04,1767538800,9INE,Wildcard,C,Bo3,1.0,0.5198537159956519,0.5297649225134677,0.499735165285695,0.49960274796569215,0.48753175551406386,1527.0984643089148,1513.2954320504816
2026-01-04,1767538800,GamerLegion,Team Venom (page does not exist),C,Bo3,1.0,0.5391827936612228,0.558653876485902,0.5109994440612211,0.5164965044954228,0.6819271200483521,1527.2829351447876,1500.0
2026-01-04,1767538800,M80,Marsborne,C,Bo3,1.0,0.5171708399202337,0.5257461346569561,0.49162121225149696,0.4874329948274856,0.3869600317600458,1527.8707280455278,1515.9345125965992
2026-01-04,1767538800,SemperFi Esports,CSDIILIT,C,Bo1,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-04,1767539400,ALGO Esports,EC BANGA,C,Bo1,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
